"stretch_id","stretch_name","stretch_length_km","sct_id_via","road_id","manage","way"
91,"puente el zacatal",3.861,76,22,,
92,"CHAMPOTON-CAMPECHE",39.5,13,23,"federal",
93,"Seybaplaya-champeche",24.5,13,23,"federal",
94,"Champoton-seybaplaya",15,13,23,"federal",
95,"CTO. EXT. MEXIQUENSE -T0 JOROBAS",,,178,"state",
96,"T1 TULTEPEC Origen entronque Lechería-Texcoco",,,178,"state",
1395,"T1 Tultepec Origen entronque Hank González",,,178,"state",
97,"T2 CONMEX Origen entronque Hank González",,,178,"state",
1393,"T2 CONMEX Origen entronque Lechería-Texcoco",,,178,"state",
98,"CTO. EXT. MEXIQUENSE -T3 NABOR CARRILLO (P",,,178,"state",
99,"CTO. EXT. MEXIQUENSE -T3 NABOR CARRILLO (B",,,178,"state",
100,"CTO. EXT. MEXIQUENSE -T4 CHALCO",,,178,"state",
101,"CTO. EXT. MEXIQUENSE A-1A - A-1B HUEHUETO",,,178,"state",
102,"CTO. EXT. MEXIQUENSE   A-2 / A-5 HANK GLEZ.",,,178,"state",
103,"CTO. EXT. MEXIQUENSE  A-6, A-7 PERIFÉRICO",,,178,"state",
104,"CTO. EXT. MEXIQUENSE  A-8 (PICHARDO)",,,178,"state",
105,"CTO. EXT. MEXIQUENSE  A-9 CTM",,,178,"state",
106,"T1 JALTENCO Lechería-Texcoco",,,178,"state",
1394,"T1 JALTENCO Origen entronque Hank González",,,178,"state",
107,"CTO. EXT. MEXIQUENSE  A-3 A PACHUCA",,,178,"state",
108,"CTO. EXT. MEXIQUENSE  A-4 PACHUCA",,,178,"state",
109,"CTO. EXT. MEXIQUENSE  A-21 - A-22 B. XOCHIAC",,,178,"state",
110,"CTO. EXT. MEXIQUENSE  T-7 - TEXCOCO",,,178,"state",
111,"CTO. EXT. MEXIQUENSE  A-27 SAN BUENA VENT",,,178,"state",
112,"CTO. EXT. MEXIQUENSE A-28 SAN BUENA VENT",,,178,"state",
113,"CTO. EXT. MEXIQUENSE  A-31 - A-32 ENT. TULTE",,,178,"state",
114,"CTO. EXT. MEXIQUENSE A-34 - A-36 V. MEXIQUE",,,178,"state",
115,"CTO. EXT. MEXIQUENSE  A-33 Y A-35 (AUXILIAR",,,178,"state",
116,"CTO. EXT. MEXIQUENSE  T-5 TULTITLÁN",,,178,"state",
117,"CTO. EXT. MEXIQUENSE  T6 CUAUTITLÁN-(SAN",,,178,"state",
118,"CTO. EXT. MEXIQUENSE  AIFA T-5 D.S.I.",,,178,"state",
119,"CTO. EXT. MEXIQUENSE  AIFA A-35 D.S.I.",,,178,"state",
1396,"A-12 entronque santa inés",,,178,"state",
120,"indios verdes-san cristobal ecatepec",8.8,,,,
121,"Mexico-lecheria",11.2,56,24,"federal",
122,"MÉXICO-PACHUCA",,56,24,"federal",
123,"indios verdez-tizayuca",45.8,56,24,"federal",
124,"MÉXICO-PACHUCA",,56,24,"federal",
125,"ECATEPEC-PIRÁMIDES",22.21,21,25,"federal",
126,"Ecatepec-tepexpan",9.73,21,25,"federal",
127,"Tepexpan-san martín de las pirámides",12.48,21,25,"federal",
128,"PIRÁMIDES-TEXCOCO",,,195,"federal",
129,"PIRÁMIDES-TEXCOCO",,,195,"federal",
130,"PIRÁMIDES-TEXCOCO",,,195,"federal",
131,"PIRÁMIDES-TEXCOCO",,,195,"federal",
132,"PEÑON-TEXCOCO",16.17,62,26,"federal",
133,"PEÑON-TEXCOCO",16.17,62,26,"federal",
134,"Ent. Circuito exterior mexiquense",11.87,62,26,"federal",
135,"Tejocotal-tuxpan",,,,,
136,"LIBRAMIENTO TULANCINGO",22.7,195,27,"federal",
137,"Tulancingo-venta grande",41.2,195,27,"federal",
138,"Tejocotal-nuevo necaxa",17.5,207,173,"federal",
139,"avila camacho-venustiano carranza",24.048,227,28,"federal",
140,"venustiano carranza-tihuatlán",24.048,227,28,"federal",
141,"TIHUATLAN-TUXPAN",37.5,117,29,"federal",
142,"tihuatlan I-tihuatlan II",4.4,117,29,"federal",
143,"buenos aires-naranjos",,,190,"federal",
144,"buenos aires-ozuluama",,,190,"federal",
145,"Naranjos-ozuluama",52.3,,190,"federal",
146,"los gil-buenos aires",,,190,"federal",
147,"TIHUATLAN-GUTIERREZ ZAMORA",37.289,30,30,"federal",
148,"TUXPAN-CARDEL",,,189,"federal",
149,"Nautla-gutierrez zamora",49,,189,"federal",
150,"Nautla-tihuatlan",,,189,"federal",
151,"vega de alatorre-nautla",,,189,"federal",
152,"laguna verde-nautla",80,,189,"federal",
153,"laguna verde-vega de alatorre",,,189,"federal",
154,"PUENTE NACIONAL TECOLUTLA",0.368,103,31,,
155,"LIBRAMIENTO PONIENTE DE TAMPICO",14.478,45,32,"federal",
156,"boulevard loma real-altamira",8.378,45,32,"federal",
157,"ciudad valles-boulevard loma real",6.1,45,32,"federal",
158,"puente tampico",1.543,102,33,,
159,"puente pánuco",0.179,89,34,,
160,"Mexico-tepeji del rio",57.571,58,35,"federal",
161,"Jorobas-tepeji del rio",34.149,58,35,"federal",
162,"tepeji del rio-palmillas",57.571,58,35,"federal",
163,"tepeji del rio-palmillas",57.571,58,35,"federal",
164,"tepeji del rio-polotitlan",42.621,58,35,"federal",
165,"Queretaro-celaya",44.5,109,36,"federal",
166,"QUERETARO-IRAPUATO",,,36,"federal",
167,"Queretaro-ent. Libramiento surponiente de queretaro",7.11,109,36,"federal",
168,"LIBRAMIENTO DE CELAYA",,,188,"state",
169,"LIBRAMIENTO DE CELAYA",,,188,"state",
170,"LIBRAMIENTO DE CELAYA",,,188,"state",
171,"Celaya-ent. Villagran",19.95,109,36,"federal",
172,"Celaya-cerro gordo",32.75,109,36,"federal",
173,"cerro gordo-irapuato",26.75,109,36,"federal",
174,"cerro gordo-salamanca",5,109,36,"federal",
175,"Celaya-irapuato",59.25,109,36,"federal",
176,"Celaya-salamanca",37.75,109,36,"federal",
177,"cerro gordo-ent la garrida",31.034,242,38,"federal",
178,"entronque itesi-san cristobal",19.57,212,37,"federal",
179,"san cristobal-entronque carretera 90",9.63,212,37,"federal",
180,"entronque itesi-arandas",5.81,212,37,"federal",
181,"Arandas-san cristobal",13.76,212,37,"federal",
182,"Salamanca-irapuato",21.5,109,36,"federal",
183,"Irapuato-leon",49.828,242,38,"federal",
184,"Irapuato-silao (romita-irapuato)",25.3,242,38,"federal",
185,"Silao-leon (romita-leon)",23.6,242,38,"federal",
186,"eje metropolitano-ent los rodrigiez",9.5,242,38,"federal",
187,"GUANAJUATO-SILAO",,,186,"state",
188,"Leon-lagos de moreno",60.05,36,39,"federal",
189,"Leon-las joyas",22.8,36,39,"federal",
190,"Leon-san francisco del rincon",19,36,39,"federal",
191,"Leon-plande ayala",,36,39,"federal",
192,"union de san antonio-lagos de moreno",19,36,39,"federal",
193,"Leon-ent central de abastos",12,36,39,"federal",
194,"Leon-ent aut salamanca",6.15,36,39,"federal",
195,"ent. Lagos de moreno-aguascalientes",43.8,36,39,"federal",
196,"encarnacion de diaz-aguascalentes",15.11,36,39,"federal",
197,"Ent. Montoro-Ent. La Escondida",,,175,"state",
198,"Ent. Montoro-Ent. El Chichimeco",,,175,"state",
199,"Ent. El Chichimeco-Ent. La Escondida",,,175,"state",
200,"CD. CUAUHTEMOC-OSIRIS",42.31,9,40,"federal",
201,"ent. Arandas-el desperdicio",65.21,125,41,"federal",
202,"ent. Arandas-jalostotitlan",37.516,125,41,"federal",
203,"Jalostotitlan-el desperdicio",27.7,125,41,"federal",
204,"ent. Arandas-san miguel el alto",22.1,125,41,"federal",
205,"ent. San juan de los lagos-el desperdicio",8.18,125,41,"federal",
206,"ZAPOTLANEJO-LAGOS DE MORENO",,,41,"federal",
207,"ZAPOTLANEJO-LAGOS DE MORENO",,,41,"federal",
208,"ZAPOTLANEJO-LAGOS DE MORENO",,,41,"federal",
209,"Zapotlanejo-ent. Arandas",53.284,125,41,"federal",
210,"Guadalajara-acatic",,,41,"federal",
211,"ent. Acatic-zapotlanejo",25.02,125,41,"federal",
212,"Zapotlanejo-tepatitlan",41.512,125,41,"federal",
213,"ZAPOTLANEJO-LAGOS DE MORENO",,,41,"federal",
214,"ZAPOTLANEJO-LAGOS DE MORENO",,,41,"federal",
215,"Tapatitlan-ent. Arandas",11.772,125,41,"federal",
216,"lagos de moreno-villa de arriaga",66.048,224,42,"federal",
217,"VENTURA-EL PEYOTE",,,187,"federal",
218,"LIBRAMIENTO ARCO NORTE SAN LUIS POTOS",31.5,238,43,"federal",
219,"LIBRAMIENTO PONIENTE SAN LUIS POTOSI",24.43,259,44,"federal",
220,"Horizontes-guadalajara",,,44,"federal",
221,"Horizontes-zacatecas",4.6,,44,"federal",
222,"LIBRAMIENTO ORIENTE SAN LUIS POTOSI",33.76,43,45,"federal",
223,"Rioverde-la pila",,,45,"federal",
224,"LIBRAMIENTO NORESTE QUERETARO",37,40,46,"federal",
225,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
226,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
227,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
228,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
229,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
230,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
231,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
232,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
233,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
234,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
235,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
236,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
237,"SAN LUIS POTOSÍ-RIOVERDE",,,185,"state",
238,"libramiento cd. Valles-tamuin",49.5,244,47,"federal",
239,"ent. La calera-ent. San juan",28.9,244,47,"federal",
240,"ent. La pitahaya-ent. La calera",20.6,244,47,"federal",
241,"Mexico-santa fe",5.13,55,48,"federal",
242,"MÉXICO-LA MARQUESA",22,55,48,"federal",
243,"Mexico-contadero",10.93,55,48,"federal",
244,"Mexico-la venta",11.5,55,48,"federal",
245,"Contadero-la marquesa",11.07,55,48,"federal",
246,"la venta-la marquesa",10.5,55,48,"federal",
247,"LA MARQUESA-LERMA",12.303,251,49,"federal",
248,"TENANGO - IXTAPAN",,,177,"state",
249,"TENANGO - IXTAPAN",,,177,"state",
250,"TENANGO - IXTAPAN",,,177,"state",
251,"TENANGO - IXTAPAN",,,177,"state",
252,"LERMA-SANTIAGO",,,181,"state",
253,"LERMA-SANTIAGO",,,181,"state",
254,"LERMA-SANTIAGO",,,181,"state",
255,"LERMA-SANTIAGO",,,181,"state",
256,"Lerma-atlacomulco",,,179,"state",
257,"Xonacatlan-atlacomulco",,,179,"state",
258,"Lerma-xonacatlan",,,179,"state",
259,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA",,,180,"state",
260,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA",,,180,"state",
261,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA",,,180,"state",
262,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA",,,180,"state",
263,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA",,,180,"state",
264,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA",,,180,"state",
265,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA",,,180,"state",
266,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA",,,180,"state",
267,"ZITACUARO-LENGUA DE VACA",11.84,,184,"state",
268,"TOLUCA-ATLACOMULCO",,,174,"federal",
269,"TOLUCA-ATLACOMULCO",,,174,"federal",
270,"Atlacomulco-venta de bravo",32.175,4,50,"federal",
271,"venta de bravo-maravatio",32.175,4,50,"federal",
272,"Maravatio-morelia",75.427,49,51,"federal",
273,"Zinapecuaro-morelia",38.211,49,51,"federal",
274,"Maravatio-zinapecuaro",37.216,49,51,"federal",
275,"Maravatio-jerahuaro",21.113,49,51,"federal",
276,"Morelia-copandaro",7.411,49,51,"federal",
277,"Morelia-churintzio",105.894,49,51,"federal",
278,"Morelia-panindicuaro",66.663,49,51,"federal",
279,"Morelia-huaniqueo",39.573,49,51,"federal",
280,"Panindicuaro-churintzio",39.231,49,51,"federal",
281,"Churintzio-la barca",55.823,49,51,"federal",
282,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
283,"vista hermosa-la barca",,49,51,"federal",
284,"Churintzio-ecuandureo",13.682,49,51,"federal",
285,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
286,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
287,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
288,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
289,"la barca-zapotlanejo",72.556,49,51,"federal",
290,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
291,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
292,"Ocotlan-zapotlanejo",48.095,49,51,"federal",
293,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
294,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
295,"zapotlanejo del rey-zapotlanejo",28.7,49,51,"federal",
296,"la barca-ocotlan",23.811,49,51,"federal",
297,"MARAVATIO-ZAPOTLANEJO",,49,51,"federal",
298,"ECUANDUREO-LA BARCA",42.141,49,51,"federal",
299,"PUENTE NACIONAL LA PIEDAD",0.092,79,52,,
300,"laguna larga-patti II",21.388,225,208,"federal",
301,"Calera-patti II",16.08,225,208,"federal",
302,"laguna larga-calera",5.3,225,208,"federal",
303,"MORELIA-AEROPUERTO",,,,"federal",
304,"MORELIA-AEROPUERTO",,,,"federal",
305,"Morelia-copandaro (capula-patzcuaro)",34,247,54,"federal",
306,"Quiroga-patzcuaro (patzcuaro-copandro)",29.57,247,54,"federal",
307,"PATZCUARO-URUAPAN",56.5,61,55,"federal",
308,"Zirahuen-uruapan",35.8,61,55,"federal",
309,"Zurumucapio-uruapan",16.5,61,55,"federal",
310,"ent. Zirimicuaro-ent. Cajones",29,122,56,"federal",
311,"Taretan-ent. Cajones",21,122,56,"federal",
312,"ent. Zirimicuaro-taretan",8,122,56,"federal",
313,"ent. Cajones-ent. Cuatro caminos",31,122,56,"federal",
314,"ent. Santa casilda-ent. Cuatro caminos",20,122,56,"federal",
315,"ent. Cajones-ent. Santa casilda",11,122,56,"federal",
316,"ent. Nueva italia-ent. Las cañas",57.5,60,57,"federal",
317,"ent. Las cañas-lazaro cardenas",99.25,60,57,"federal",
318,"ent. Las cañas-ent. Feliciano",70.5,60,57,"federal",
319,"ent. Feliciano-lazaro cardenas",28.75,60,57,"federal",
320,"MÉXICO-CUERNAVACA",61.54,54,58,"federal",
321,"tres marias-cuernavaca",27.5,54,58,"federal",
322,"La Pera A - Tepoztlán A",,,59,"federal",
323,"Cuautla-la pera",17.083,32,59,"federal",
324,"La Pera A - Oaxtepec A",,,59,"federal",
325,"Cuautla B - Tepoztlán B",,,59,"federal",
326,"La Pera A - Oacalco A",,,59,"federal",
327,"Oaxtepec B - Tepoztlán B",,,59,"federal",
328,"Oacalco B - Tepoztlán B",,,59,"federal",
329,"Tepoztlán B - La Pera B",,,59,"federal",
330,"Tepoztlán A - Oacalco A",,,59,"federal",
331,"Oacalco A - Cuautla A",,,59,"federal",
332,"Oacalco A - Oaxtepec A",,,59,"federal",
333,"Oacalco B - La Pera B",,,59,"federal",
334,"la pera-cuautla",17.082,32,59,"federal",
335,"Oaxtepec B - La Pera B",,,59,"federal",
336,"Tepoztlán A - Cuautla A",,,59,"federal",
337,"Tepoztlán A - Oaxtepec A",,,59,"federal",
338,"Cuautla B - Oacalco B",,,59,"federal",
339,"Oaxtepec B - Oacalco B",,,59,"federal",
340,"Cuernavaca-central de abastos",7,18,60,"federal",
